"contact";"month";"day_of_week";"duration";"y"
"telephone";"may";"mon";81;"no"
"telephone";"may";"mon";270;"no"
"telephone";"may";"mon";228;"no"
"telephone";"may";"mon";240;"no"
"telephone";"may";"mon";673;"yes"
"telephone";"may";"mon";233;"no"
"telephone";"may";"mon";102;"no"
"telephone";"may";"mon";461;"no"
"telephone";"may";"mon";250;"no"
"telephone";"may";"mon";130;"no"
"telephone";"may";"mon";252;"no"
"telephone";"may";"mon";138;"no"
"telephone";"may";"mon";412;"no"
"telephone";"may";"mon";179;"no"
"telephone";"may";"mon";19;"no"
"telephone";"may";"mon";228;"no"
"telephone";"may";"mon";55;"no"
"telephone";"may";"mon";717;"no"
"telephone";"may";"mon";313;"no"
"telephone";"may";"mon";289;"no"
"telephone";"may";"mon";683;"no"
"telephone";"may";"mon";1077;"no"
"telephone";"may";"mon";146;"no"
"telephone";"may";"mon";167;"no"
"telephone";"may";"mon";356;"no"
"telephone";"may";"mon";277;"no"
"telephone";"may";"mon";172;"no"
"telephone";"may";"mon";218;"no"
"telephone";"may";"mon";217;"no"
"telephone";"may";"mon";67;"no"
"telephone";"may";"mon";291;"no"
"telephone";"may";"mon";248;"no"
"telephone";"may";"mon";256;"no"
"telephone";"may";"mon";286;"no"
"telephone";"may";"mon";477;"no"
"telephone";"may";"mon";611;"no"
"telephone";"may";"mon";471;"no"
"telephone";"may";"mon";381;"no"
"telephone";"may";"mon";251;"no"
"telephone";"may";"mon";408;"no"
"telephone";"may";"mon";287;"no"
"telephone";"may";"mon";322;"no"
"telephone";"may";"mon";216;"no"
"telephone";"may";"mon";366;"no"
"telephone";"may";"mon";210;"no"
"telephone";"may";"mon";288;"no"
"telephone";"may";"mon";168;"no"
"telephone";"may";"mon";132;"no"
"telephone";"may";"mon";64;"no"
"telephone";"may";"mon";209;"no"
"telephone";"may";"mon";410;"no"
"telephone";"may";"mon";177;"no"
"telephone";"may";"mon";580;"no"
"telephone";"may";"mon";165;"no"
"telephone";"may";"mon";127;"no"
"telephone";"may";"mon";357;"no"
"telephone";"may";"mon";175;"no"
"telephone";"may";"mon";300;"no"
"telephone";"may";"mon";136;"no"
"telephone";"may";"mon";125;"no"
"telephone";"may";"mon";189;"no"
"telephone";"may";"mon";213;"no"
"telephone";"may";"mon";238;"no"
"telephone";"may";"mon";124;"no"
"telephone";"may";"mon";18;"no"
"telephone";"may";"mon";730;"no"
"telephone";"may";"mon";40;"no"
"telephone";"may";"mon";181;"no"
"telephone";"may";"mon";79;"no"
"telephone";"may";"mon";142;"no"
"telephone";"may";"mon";389;"no"
"telephone";"may";"mon";702;"no"
"telephone";"may";"mon";151;"no"
"telephone";"may";"mon";211;"no"
"telephone";"may";"mon";117;"no"
"telephone";"may";"mon";232;"no"
"telephone";"may";"mon";408;"no"
"telephone";"may";"mon";370;"no"
"telephone";"may";"mon";179;"no"
"telephone";"may";"mon";46;"no"
"telephone";"may";"mon";200;"no"
"telephone";"may";"mon";50;"no"
"telephone";"may";"mon";181;"no"
"telephone";"may";"mon";119;"no"
"telephone";"may";"mon";361;"no"
"telephone";"may";"mon";73;"no"
"telephone";"may";"mon";67;"no"
"telephone";"may";"mon";350;"no"
"telephone";"may";"mon";150;"no"
"telephone";"may";"mon";332;"no"
"telephone";"may";"mon";611;"no"
"telephone";"may";"mon";58;"no"
"telephone";"may";"mon";151;"no"
"telephone";"may";"mon";89;"no"
"telephone";"may";"mon";152;"no"
"telephone";"may";"mon";611;"no"
"telephone";"may";"mon";110;"no"
"telephone";"may";"mon";463;"no"
"telephone";"may";"mon";962;"no"
"telephone";"may";"mon";102;"no"
"telephone";"may";"mon";10;"no"
"telephone";"may";"mon";118;"no"
"telephone";"may";"mon";92;"no"
"telephone";"may";"mon";143;"no"
"telephone";"may";"mon";189;"no"
"telephone";"may";"mon";75;"no"
"telephone";"may";"mon";189;"no"
"telephone";"may";"mon";55;"no"
"telephone";"may";"mon";935;"yes"
"telephone";"may";"mon";56;"no"
"telephone";"may";"mon";5;"no"
"telephone";"may";"mon";225;"no"
"telephone";"may";"mon";125;"no"
"telephone";"may";"mon";286;"no"
"telephone";"may";"mon";206;"no"
"telephone";"may";"mon";164;"no"
"telephone";"may";"mon";98;"no"
"telephone";"may";"mon";446;"no"
"telephone";"may";"mon";742;"no"
"telephone";"may";"mon";120;"no"
"telephone";"may";"mon";122;"no"
"telephone";"may";"mon";362;"no"
"telephone";"may";"mon";357;"no"
"telephone";"may";"mon";200;"no"
"telephone";"may";"mon";107;"no"
"telephone";"may";"mon";267;"no"
"telephone";"may";"mon";248;"no"
"telephone";"may";"mon";215;"no"
"telephone";"may";"mon";209;"no"
"telephone";"may";"mon";205;"no"
"telephone";"may";"mon";261;"no"
"telephone";"may";"mon";83;"no"
"telephone";"may";"mon";106;"no"
"telephone";"may";"mon";106;"no"
"telephone";"may";"mon";108;"no"
"telephone";"may";"mon";214;"no"
"telephone";"may";"mon";358;"no"
"telephone";"may";"mon";453;"no"
"telephone";"may";"mon";364;"no"
"telephone";"may";"mon";136;"no"
"telephone";"may";"mon";173;"no"
"telephone";"may";"mon";241;"no"
"telephone";"may";"mon";224;"no"
"telephone";"may";"mon";148;"no"
"telephone";"may";"mon";230;"no"
"telephone";"may";"mon";199;"no"
"telephone";"may";"mon";196;"no"
"telephone";"may";"mon";111;"no"
"telephone";"may";"mon";231;"no"
"telephone";"may";"mon";316;"no"
"telephone";"may";"mon";240;"no"
"telephone";"may";"mon";669;"no"
"telephone";"may";"mon";425;"no"
"telephone";"may";"mon";121;"no"
"telephone";"may";"mon";174;"no"
"telephone";"may";"mon";88;"no"
"telephone";"may";"mon";313;"no"
"telephone";"may";"mon";135;"no"
"telephone";"may";"mon";152;"no"
"telephone";"may";"mon";402;"no"
"telephone";"may";"mon";221;"no"
"telephone";"may";"mon";213;"no"
"telephone";"may";"mon";144;"no"
"telephone";"may";"mon";158;"no"
"telephone";"may";"mon";220;"no"
"telephone";"may";"mon";325;"no"
"telephone";"may";"mon";254;"no"
"telephone";"may";"mon";503;"no"
"telephone";"may";"mon";680;"no"
"telephone";"may";"mon";421;"no"
"telephone";"may";"mon";130;"no"
"telephone";"may";"mon";164;"no"
"telephone";"may";"mon";174;"no"
"telephone";"may";"mon";113;"no"
"telephone";"may";"mon";195;"no"
"telephone";"may";"mon";347;"no"
"telephone";"may";"mon";208;"no"
"telephone";"may";"mon";404;"no"
"telephone";"may";"mon";396;"no"
"telephone";"may";"mon";98;"no"
"telephone";"may";"mon";229;"no"
"telephone";"may";"mon";350;"no"
"telephone";"may";"tue";88;"no"
"telephone";"may";"tue";379;"no"
"telephone";"may";"tue";168;"no"
"telephone";"may";"tue";190;"no"
"telephone";"may";"tue";158;"no"
"telephone";"may";"tue";210;"no"
"telephone";"may";"tue";102;"no"
"telephone";"may";"tue";306;"no"
"telephone";"may";"tue";64;"no"
"telephone";"may";"tue";218;"no"
"telephone";"may";"tue";77;"no"
"telephone";"may";"tue";54;"no"
"telephone";"may";"tue";344;"no"
"telephone";"may";"tue";195;"no"
"telephone";"may";"tue";202;"no"
"telephone";"may";"tue";286;"no"
"telephone";"may";"tue";278;"no"
"telephone";"may";"tue";189;"no"
"telephone";"may";"tue";83;"no"
"telephone";"may";"tue";18;"no"
"telephone";"may";"tue";184;"no"
"telephone";"may";"tue";235;"no"
"telephone";"may";"tue";290;"no"
"telephone";"may";"tue";133;"no"
"telephone";"may";"tue";318;"no"
"telephone";"may";"tue";437;"no"
"telephone";"may";"tue";402;"no"
"telephone";"may";"tue";501;"no"
"telephone";"may";"tue";1201;"yes"
"telephone";"may";"tue";1030;"yes"
"telephone";"may";"tue";253;"no"
"telephone";"may";"tue";149;"no"
"telephone";"may";"tue";144;"no"
"telephone";"may";"tue";69;"no"
"telephone";"may";"tue";243;"no"
"telephone";"may";"tue";769;"no"
"telephone";"may";"tue";135;"no"
"telephone";"may";"tue";231;"no"
"telephone";"may";"tue";442;"no"
"telephone";"may";"tue";199;"no"
"telephone";"may";"tue";455;"no"
"telephone";"may";"tue";152;"no"
"telephone";"may";"tue";124;"no"
"telephone";"may";"tue";424;"no"
"telephone";"may";"tue";43;"no"
"telephone";"may";"tue";154;"no"
"telephone";"may";"tue";393;"no"
"telephone";"may";"tue";203;"no"
"telephone";"may";"tue";140;"no"
"telephone";"may";"tue";326;"no"
"telephone";"may";"tue";483;"no"
"telephone";"may";"tue";259;"no"
"telephone";"may";"tue";227;"no"
"telephone";"may";"tue";673;"no"
"telephone";"may";"tue";576;"no"
"telephone";"may";"tue";180;"no"
"telephone";"may";"tue";90;"no"
"telephone";"may";"tue";505;"no"
"telephone";"may";"tue";245;"no"
"telephone";"may";"tue";186;"no"
"telephone";"may";"tue";208;"no"
"telephone";"may";"tue";623;"no"
"telephone";"may";"tue";180;"no"
"telephone";"may";"tue";496;"no"
"telephone";"may";"tue";118;"no"
"telephone";"may";"tue";102;"no"
"telephone";"may";"tue";342;"no"
"telephone";"may";"tue";225;"no"
"telephone";"may";"tue";185;"no"
"telephone";"may";"tue";276;"no"
"telephone";"may";"tue";87;"no"
"telephone";"may";"tue";744;"no"
"telephone";"may";"tue";262;"no"
"telephone";"may";"tue";271;"no"
"telephone";"may";"tue";141;"no"
"telephone";"may";"tue";198;"no"
"telephone";"may";"tue";150;"no"
"telephone";"may";"tue";241;"no"
"telephone";"may";"tue";196;"no"
"telephone";"may";"tue";149;"no"
"telephone";"may";"tue";264;"no"
"telephone";"may";"tue";246;"no"
"telephone";"may";"tue";309;"no"
"telephone";"may";"tue";140;"no"
"telephone";"may";"tue";175;"no"
"telephone";"may";"tue";136;"no"
"telephone";"may";"tue";1623;"yes"
"telephone";"may";"tue";50;"no"
"telephone";"may";"tue";101;"no"
"telephone";"may";"tue";144;"no"
"telephone";"may";"tue";238;"no"
"telephone";"may";"tue";354;"no"
"telephone";"may";"tue";451;"no"
"telephone";"may";"tue";159;"no"
"telephone";"may";"tue";170;"no"
"telephone";"may";"tue";243;"no"
"telephone";"may";"tue";141;"no"
"telephone";"may";"tue";112;"no"
"telephone";"may";"tue";262;"no"
"telephone";"may";"tue";53;"no"
"telephone";"may";"tue";134;"no"
"telephone";"may";"tue";204;"no"
"telephone";"may";"tue";678;"no"
"telephone";"may";"tue";182;"no"
"telephone";"may";"tue";162;"no"
"telephone";"may";"tue";177;"no"
"telephone";"may";"tue";27;"no"
"telephone";"may";"tue";699;"no"
"telephone";"may";"tue";358;"no"
"telephone";"may";"tue";1677;"yes"
"telephone";"may";"tue";529;"no"
"telephone";"may";"tue";310;"no"
"telephone";"may";"tue";47;"no"
"telephone";"may";"tue";379;"no"
"telephone";"may";"tue";30;"no"
"telephone";"may";"tue";472;"no"
"telephone";"may";"tue";113;"no"
"telephone";"may";"tue";114;"no"
"telephone";"may";"tue";116;"no"
"telephone";"may";"tue";448;"no"
"telephone";"may";"tue";264;"no"
"telephone";"may";"tue";169;"no"
"telephone";"may";"tue";145;"no"
"telephone";"may";"tue";288;"no"
"telephone";"may";"tue";381;"no"
"telephone";"may";"tue";176;"no"
"telephone";"may";"tue";215;"no"
"telephone";"may";"tue";278;"no"
"telephone";"may";"tue";188;"no"
"telephone";"may";"tue";174;"no"
"telephone";"may";"tue";226;"no"
"telephone";"may";"tue";111;"no"
"telephone";"may";"tue";157;"no"
"telephone";"may";"tue";46;"no"
"telephone";"may";"tue";49;"no"
"telephone";"may";"tue";374;"no"
"telephone";"may";"tue";349;"no"
"telephone";"may";"tue";325;"no"
"telephone";"may";"tue";233;"no"
"telephone";"may";"tue";531;"no"
"telephone";"may";"tue";153;"no"
"telephone";"may";"tue";80;"no"
"telephone";"may";"tue";198;"no"
"telephone";"may";"tue";568;"no"
"telephone";"may";"tue";918;"yes"
"telephone";"may";"tue";82;"no"
"telephone";"may";"tue";198;"no"
"telephone";"may";"tue";211;"no"
"telephone";"may";"tue";120;"no"
"telephone";"may";"tue";269;"no"
"telephone";"may";"tue";128;"no"
"telephone";"may";"tue";166;"no"
"telephone";"may";"tue";211;"no"
"telephone";"may";"tue";369;"no"
"telephone";"may";"tue";91;"no"
"telephone";"may";"tue";267;"no"
"telephone";"may";"tue";198;"no"
"telephone";"may";"tue";371;"no"
"telephone";"may";"tue";288;"no"
"telephone";"may";"tue";221;"no"
"telephone";"may";"tue";427;"no"
"telephone";"may";"tue";310;"no"
"telephone";"may";"tue";158;"no"
"telephone";"may";"tue";198;"no"
"telephone";"may";"tue";145;"no"
"telephone";"may";"tue";247;"no"
"telephone";"may";"tue";102;"no"
"telephone";"may";"tue";179;"no"
"telephone";"may";"tue";73;"no"
"telephone";"may";"tue";263;"no"
"telephone";"may";"tue";342;"no"
"telephone";"may";"tue";41;"no"
"telephone";"may";"tue";13;"no"
"telephone";"may";"tue";79;"no"
"telephone";"may";"tue";358;"no"
"telephone";"may";"tue";162;"no"
"telephone";"may";"tue";150;"no"
"telephone";"may";"tue";26;"no"
"telephone";"may";"tue";250;"no"
"telephone";"may";"tue";792;"no"
"telephone";"may";"tue";146;"no"
"telephone";"may";"tue";440;"no"
"telephone";"may";"tue";289;"no"
"telephone";"may";"tue";242;"no"
"telephone";"may";"tue";123;"no"
"telephone";"may";"tue";161;"no"
"telephone";"may";"tue";268;"no"
"telephone";"may";"tue";259;"no"
"telephone";"may";"tue";26;"no"
"telephone";"may";"tue";153;"no"
"telephone";"may";"tue";424;"no"
"telephone";"may";"tue";375;"no"
"telephone";"may";"tue";179;"no"
"telephone";"may";"tue";383;"no"
"telephone";"may";"tue";440;"no"
"telephone";"may";"tue";195;"no"
"telephone";"may";"tue";1297;"yes"
"telephone";"may";"tue";217;"no"
"telephone";"may";"tue";87;"no"
"telephone";"may";"tue";427;"no"
"telephone";"may";"tue";189;"no"
"telephone";"may";"tue";502;"no"
"telephone";"may";"tue";260;"no"
"telephone";"may";"tue";209;"no"
"telephone";"may";"tue";179;"no"
"telephone";"may";"tue";179;"no"
"telephone";"may";"tue";69;"no"
"telephone";"may";"tue";105;"no"
"telephone";"may";"tue";266;"no"
"telephone";"may";"tue";87;"no"
"telephone";"may";"tue";524;"no"
"telephone";"may";"tue";155;"no"
"telephone";"may";"tue";162;"no"
"telephone";"may";"tue";316;"no"
"telephone";"may";"tue";352;"no"
"telephone";"may";"tue";695;"no"
"telephone";"may";"tue";76;"no"
"telephone";"may";"tue";535;"no"
"telephone";"may";"tue";310;"no"
"telephone";"may";"tue";390;"no"
"telephone";"may";"tue";369;"no"
"telephone";"may";"tue";112;"no"
"telephone";"may";"tue";79;"no"
"telephone";"may";"tue";140;"no"
"telephone";"may";"tue";315;"no"
"telephone";"may";"tue";262;"no"
"telephone";"may";"tue";174;"no"
"telephone";"may";"tue";424;"no"
"telephone";"may";"tue";135;"no"
"telephone";"may";"tue";36;"no"
"telephone";"may";"tue";1906;"no"
"telephone";"may";"tue";219;"no"
"telephone";"may";"tue";135;"no"
"telephone";"may";"tue";147;"no"
"telephone";"may";"tue";407;"no"
"telephone";"may";"tue";402;"no"
"telephone";"may";"tue";209;"no"
"telephone";"may";"tue";92;"no"
"telephone";"may";"tue";208;"no"
"telephone";"may";"tue";193;"no"
"telephone";"may";"tue";65;"no"
"telephone";"may";"tue";284;"no"
"telephone";"may";"tue";285;"no"
"telephone";"may";"tue";231;"no"
"telephone";"may";"tue";278;"no"
"telephone";"may";"tue";389;"no"
"telephone";"may";"tue";158;"no"
"telephone";"may";"tue";78;"no"
"telephone";"may";"tue";258;"no"
"telephone";"may";"tue";87;"no"
"telephone";"may";"tue";147;"no"
"telephone";"may";"tue";635;"no"
"telephone";"may";"tue";289;"no"
"telephone";"may";"tue";170;"no"
"telephone";"may";"tue";802;"no"
"telephone";"may";"tue";381;"no"
"telephone";"may";"tue";218;"no"
"telephone";"may";"tue";57;"no"
"telephone";"may";"tue";304;"no"
"telephone";"may";"tue";241;"no"
"telephone";"may";"tue";230;"no"
"telephone";"may";"tue";79;"no"
"telephone";"may";"tue";262;"no"
"telephone";"may";"tue";392;"no"
"telephone";"may";"tue";201;"no"
"telephone";"may";"tue";145;"no"
"telephone";"may";"tue";252;"no"
"telephone";"may";"tue";329;"no"
"telephone";"may";"tue";328;"no"
"telephone";"may";"tue";191;"no"
"telephone";"may";"tue";116;"no"
"telephone";"may";"tue";246;"no"
"telephone";"may";"tue";532;"no"
"telephone";"may";"tue";293;"no"
"telephone";"may";"tue";416;"no"
"telephone";"may";"tue";37;"no"
"telephone";"may";"tue";132;"no"
"telephone";"may";"tue";530;"no"
"telephone";"may";"tue";175;"no"
"telephone";"may";"tue";90;"no"
"telephone";"may";"tue";524;"no"
"telephone";"may";"tue";29;"no"
"telephone";"may";"tue";311;"no"
"telephone";"may";"tue";412;"no"
"telephone";"may";"tue";211;"no"
"telephone";"may";"tue";312;"no"
"telephone";"may";"tue";392;"no"
"telephone";"may";"tue";191;"no"
"telephone";"may";"tue";284;"no"
"telephone";"may";"tue";328;"no"
"telephone";"may";"tue";100;"no"
"telephone";"may";"tue";226;"no"
"telephone";"may";"tue";507;"no"
"telephone";"may";"tue";333;"no"
"telephone";"may";"tue";128;"no"
"telephone";"may";"tue";322;"no"
"telephone";"may";"tue";202;"no"
"telephone";"may";"tue";92;"no"
"telephone";"may";"tue";205;"no"
"telephone";"may";"tue";739;"no"
"telephone";"may";"tue";273;"no"
"telephone";"may";"tue";339;"no"
"telephone";"may";"tue";262;"no"
"telephone";"may";"tue";308;"no"
"telephone";"may";"tue";467;"no"
"telephone";"may";"tue";245;"no"
"telephone";"may";"tue";160;"no"
"telephone";"may";"tue";189;"no"
"telephone";"may";"tue";477;"no"
"telephone";"may";"tue";65;"no"
"telephone";"may";"tue";191;"no"
"telephone";"may";"tue";196;"no"
"telephone";"may";"tue";221;"no"
"telephone";"may";"tue";197;"no"
"telephone";"may";"tue";178;"no"
"telephone";"may";"tue";221;"no"
"telephone";"may";"tue";64;"no"
"telephone";"may";"tue";75;"no"
"telephone";"may";"tue";400;"no"
"telephone";"may";"tue";378;"no"
"telephone";"may";"tue";118;"no"
"telephone";"may";"tue";1597;"yes"
"telephone";"may";"tue";346;"no"
"telephone";"may";"tue";107;"no"
"telephone";"may";"tue";60;"no"
"telephone";"may";"tue";276;"no"
"telephone";"may";"tue";176;"no"
"telephone";"may";"tue";390;"no"
"telephone";"may";"tue";251;"no"
"telephone";"may";"tue";716;"no"
"telephone";"may";"tue";189;"no"
"telephone";"may";"tue";125;"no"
"telephone";"may";"tue";234;"no"
"telephone";"may";"tue";79;"no"
"telephone";"may";"tue";13;"no"
"telephone";"may";"tue";296;"no"
"telephone";"may";"tue";114;"no"
"telephone";"may";"tue";283;"no"
"telephone";"may";"tue";109;"no"
"telephone";"may";"tue";132;"no"
"telephone";"may";"tue";144;"no"
"telephone";"may";"tue";121;"no"
"telephone";"may";"tue";95;"no"
"telephone";"may";"tue";31;"no"
"telephone";"may";"tue";112;"no"
"telephone";"may";"tue";161;"no"
"telephone";"may";"tue";87;"no"
"telephone";"may";"tue";593;"no"
"telephone";"may";"tue";99;"no"
"telephone";"may";"tue";198;"no"
"telephone";"may";"tue";285;"no"
"telephone";"may";"tue";190;"no"
"telephone";"may";"tue";172;"no"
"telephone";"may";"tue";178;"no"
"telephone";"may";"tue";174;"no"
"telephone";"may";"tue";631;"no"
"telephone";"may";"tue";152;"no"
"telephone";"may";"tue";176;"no"
"telephone";"may";"tue";32;"no"
"telephone";"may";"tue";1529;"no"
"telephone";"may";"tue";254;"no"
"telephone";"may";"tue";214;"no"
"telephone";"may";"tue";147;"no"
"telephone";"may";"tue";800;"no"
"telephone";"may";"tue";106;"no"
"telephone";"may";"tue";135;"no"
"telephone";"may";"tue";112;"no"
"telephone";"may";"tue";222;"no"
"telephone";"may";"tue";314;"no"
"telephone";"may";"tue";421;"no"
"telephone";"may";"tue";410;"no"
"telephone";"may";"tue";207;"no"
"telephone";"may";"tue";239;"no"
"telephone";"may";"tue";83;"no"
"telephone";"may";"tue";160;"no"
"telephone";"may";"tue";42;"no"
"telephone";"may";"tue";55;"no"
"telephone";"may";"tue";157;"no"
"telephone";"may";"tue";303;"no"
"telephone";"may";"tue";336;"no"
"telephone";"may";"tue";233;"no"
"telephone";"may";"tue";211;"no"
"telephone";"may";"tue";88;"no"
"telephone";"may";"tue";139;"no"
"telephone";"may";"tue";329;"no"
"telephone";"may";"tue";305;"no"
"telephone";"may";"tue";206;"no"
"telephone";"may";"tue";128;"no"
"telephone";"may";"tue";122;"no"
"telephone";"may";"tue";343;"no"
"telephone";"may";"tue";126;"no"
"telephone";"may";"tue";249;"no"
"telephone";"may";"tue";59;"no"
"telephone";"may";"tue";166;"no"
"telephone";"may";"tue";190;"no"
"telephone";"may";"tue";216;"no"
"telephone";"may";"wed";51;"no"
"telephone";"may";"wed";169;"no"
"telephone";"may";"wed";148;"no"
"telephone";"may";"wed";132;"no"
"telephone";"may";"wed";117;"no"
"telephone";"may";"wed";275;"no"
"telephone";"may";"wed";124;"no"
"telephone";"may";"wed";118;"no"
"telephone";"may";"wed";479;"no"
"telephone";"may";"wed";285;"no"
"telephone";"may";"wed";322;"no"
"telephone";"may";"wed";202;"no"
"telephone";"may";"wed";162;"no"
"telephone";"may";"wed";216;"no"
"telephone";"may";"wed";195;"no"
"telephone";"may";"wed";96;"no"
"telephone";"may";"wed";149;"no"
